country,number_of_actors,actor_list
Afghanistan,6,"Bundeswehr's Computer Network Operations Unit (CNO), Calypso, Ghost Squad, People's Liberation Army Strategic Support Force (PLA Unit 61398), Sidewinder, Undetermined"
Albania,4,"Homeland Justice, Serbian Hackers, Undetermined, bRpsd"
Algeria,2,"MAZE, Undetermined"
American Samoa,1,Undetermined
Andorra,1,Undetermined
Angola,3,"Anonymous (Portugal), Quantum, Undetermined"
Argentina,16,"AnibaLeaks, Azmeth, BlackByte, Everest, GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM), Kapustkiy, Kasimierz L, Lapsus$, LockBit, NetWalker, Play, Quantum, REvil, Rhysida, Undetermined, Vice Society"
Armenia,5,"Anti-Armenia Team, FSB 18th Center for Information Security (Berserk Bear), Turk Hack Team, Turkish hackers, xaxaxax"
Australia,53,"@NightmareSquad, @security_511, ALF, ALPHV, APT30, Avaddon, CL0P, Cactus, Chrichir, Christian Dior, Cyclops, DarkSide, Dr.SHA6H, Egregor, ElSurveillance, FIN11, Gnosticplayers, Islamic Revolutionary Guard Corps (APT 35 Charming Kitten), Lapsus$, Le Duc Hoang Hai, LockBit, Lorenz, MAZE, Medusa, Ministry of Intelligence and Security (MOIS) (Mango Sandstorm), Ministry of State Security's (MSS) (MUSTANG PANDA), MrNervous, Mufasa, NGB 3rd Technical Surveillance Bureau, NetWalker, NoEscape, Pakiz Cyber Squad, People's Liberation Army Strategic Support Force (PLA Unit 61398), Qilin, Quantum, REvil, RansomEXX, Rhysida, Royal, ShinyHunters, SiegedSec, Silent Hacker's Group, Silent Librarian, Team System DZ, UNC4841, Undetermined, Unnamed Australian contractor, Vice Society, WIZARD SPIDER, Water Roc, abdilo, emo, optusdata"
Austria,16,"ALPHV, Aslan Neferler Tim, Black Basta, Cuba, FSB 18th Center for Information Security (Berserk Bear), GRU Unit 26165 (FANCY BEAR), Karakurt, LockBit, Lorenz, NetWalker, NoName057(16), PayorGrief, Play, Prosox Shade, Undetermined, Vice Society"
Azerbaijan,5,"A. S. A. L. A., Cozy Bear, ElliotAlderson, Monte Melkonian Cyber Army (MMCA), Mr.H4rD3n"
Bahamas,1,Undetermined
Bahrain,5,"Al-Toufan, or ""The Flood"", Anonymous, DEV-0056, Ministry of Intelligence and Security (MOIS) (APT 34 OilRig), Undetermined"
Bangladesh,10,"ALTDOS, Bitter, Bozkurtlar, Cyber-71, N33LOB33, NGB 3rd Technical Surveillance Bureau, Nigerian Cyber Hunters, Silence Group, Team Pak Cyber Attacker, Undetermined"
Barbados,3,"Muslim Electronic Army, The Dark Overlord, Undetermined"
Belarus,11,"Anonymous, Belarusian Cyber Partisans, Cloud Atlas, Cyber Partisans, GhostSec, Ghostwriter, RIAEvangelist, Spid3r, Team OneFist, Ukraine IT Army, Undetermined"
Belgium,18,"APT27 (Iron Panda), APT30, Anonymous (Belgium), Anonymous Russia, Arvin Club, Avaddon, Babuk, Black Basta, Killnet, Ministry of Intelligence and Security (MOIS), Ministry of State Security's (MSS) (APT31), National Security Agency, Ragnar Locker, Rex Mundi, Spectre123, Stormous, Syrian Cyber Army, Undetermined"
Bermuda,1,Undetermined
Bolivia (Plurinational State of),4,"Chilean Hackers, Hanom1960, Hazzard, Undetermined"
"Bonaire, Sint Eustatius and Saba",1,Anonymous Russia
Bosnia and Herzegovina,2,"Anonymous, Undetermined"
Brazil,43,"8Base, @joshua, ALPHV, Akira, Anonymous, Anonymous (Brazil), Avaddon, CL0P, Cactus, CrossLock, Dark Angels, DarkSide, Dfrank, Everest, Fatal Error, GhostSec, GoatRAT, Guacamaya, Hive, Knight, Kuroi'SH, Lapsus$, LockBit, Matrong, NGB 3rd Technical Surveillance Bureau, NoEscape, ProtoWave, Quilin, REvil, Ragnar Locker, RansomEXX, Red Hell Sofyan, Rhysida, Royal, ShinyHunters, Sprite Spider, TheSnake, Two Unnamed Brazilian Hackers, Undetermined, Vanda The God, Vice Society, Water Roc, sup3rm4n; j0shua3w"
Bulgaria,5,"Anonymous Russia, Cyber Haxors Group, Killnet, Kristian Boykov, Undetermined"
Cabo Verde,1,Undetermined
Cambodia,5,"APT32, Ministry of State Security's (MSS) Hainan State Security Department (APT40), Rancor, Turksiberkarargh, Undetermined"
Canada,64,"8Base, @TorProdigy, @ciadotgov, ALPHV, APT27 (Iron Panda), Akira, Amped Attacks AKA sgtbilko420, Angel_Of_Truth, Anonymous, Anonymous (Quebec), Avaddon, AvosLocker, BianLian, Black Basta, BlackByte, CL0P, Cuba, Daixin Team, DarkSide, Egregor, FIN11, Fredrick Lapoint, Rath Pak and Jimmy Saintelien, GRU Unit 26165 (FANCY BEAR), Hive, INDRIK SPIDER, Indian Cyber Force, JokerStash, LockBit, Lorenz, Medusa, NGB 3rd Technical Surveillance Bureau, NetWalker, NoEscape, NoName057(16), Nokoyawa, NullCrew, ObeySec, Play, ProjectDump, Quantum, REvil, Ragnar Locker, Ransom House, RansomEXX, Rektengle, Russian Hackers Team, Sanggiero and IntelBoker, Saudi Arabia, Seize, ShinyHunters, Silent Librarian, Snatch, TA505, Team System DZ, Teams Hans, The Impact Team, Two ""rogue"" Shopify employees, Undetermined, Vice Society, WIZARD SPIDER, Water Roc, herbapproach@protonmail.com, l1kw1d, nairb"
Cayman Islands,3,"@TheNetShip, Hack for Trump, Undetermined"
