,ttp,total_cwes,mitigated_cwes,unmitigated_cwes,mitigation_ratio
0, T1480,1,[],['NVD-CWE-noinfo'],0.0
1, T1565.001,2,"['CWE-639', 'CWE-352']",[],1.0
2,T0803,1,['CWE-306'],[],1.0
3,T0804,1,['CWE-306'],[],1.0
4,T0812,1,['CWE-22'],[],1.0
5,T0814,1,['CWE-400'],[],1.0
6,T0816,1,['CWE-306'],[],1.0
7,T0826,2,['CWE-400'],['CWE-757'],0.5
8,T0828,6,"['CWE-190', 'CWE-190', 'CWE-287', 'CWE-862', 'CWE-287', 'CWE-338']",[],1.0
9,T0833,1,['CWE-287'],[],1.0
10,T0836,1,['CWE-306'],[],1.0
11,T0842,2,"['CWE-319', 'CWE-294']",[],1.0
12,T0855,4,"['CWE-294', 'CWE-306', 'CWE-287', 'CWE-306']",[],1.0
13,T0859,1,['CWE-319'],[],1.0
14,T0860,2,"['CWE-862', 'CWE-306']",[],1.0
15,T0873,1,[],['CWE-843'],0.0
16,T0875,1,['CWE-306'],[],1.0
17,T0880,1,[],['CWE-290'],0.0
18,T1003,1,[],['CWE-255'],0.0
19,T1003.008,1,['CWE-20'],[],1.0
