ttp,cves,CWE-ID
 T1480,CVE-2012-4681,NVD-CWE-noinfo
 T1565.001,"CVE-2020-5539, CVE-2015-7925","CWE-639, CWE-352"
T0803,CVE-2018-17924,CWE-306
T0804,CVE-2018-17924,CWE-306
T0812,CVE-2018-14847,CWE-22
T0814,CVE-2020-6986,CWE-400
T0816,CVE-2018-18995,CWE-306
T0826,"CVE-2020-16200, CVE-2019-13555","CWE-757, CWE-400"
T0828,"CVE-2018-18667, CVE-2018-18665, CVE-2018-19833, CVE-2018-19830, CVE-2018-19831, CVE-2018-17877","CWE-190, CWE-190, CWE-287, CWE-862, CWE-287, CWE-338"
T0833,CVE-2018-5459,CWE-287
T0836,CVE-2018-18995,CWE-306
T0842,"CVE-2020-12008, CVE-2019-13533","CWE-319, CWE-294"
T0855,"CVE-2019-13533, CVE-2018-17924, CVE-2018-5459, CVE-2018-18995","CWE-294, CWE-306, CWE-287, CWE-306"
T0859,CVE-2020-12008,CWE-319
T0860,"CVE-2019-6538, CVE-2019-6538","CWE-862, CWE-306"
T0873,CVE-2019-10980,CWE-843
T0875,CVE-2018-17924,CWE-306
T0880,CVE-2017-14487,CWE-290
T1003,CVE-2014-1812,CWE-255
T1003.008,CVE-2020-3240,CWE-20
T1005,"CVE-2020-0955, CVE-2020-5331, CVE-2020-11059, CVE-2020-5284, CVE-2020-5366, CVE-2020-1569, CVE-2020-1495, CVE-2020-16874, CVE-2020-11039, CVE-2020-5373, CVE-2020-5539, CVE-2020-1109, CVE-2020-11652, CVE-2020-5371, CVE-2020-5386, CVE-2020-11045, CVE-2020-1141, CVE-2020-15137, CVE-2020-11019, CVE-2020-11010, CVE-2020-5220, CVE-2020-11021, CVE-2020-5270, CVE-2020-11087, CVE-2020-3477, CVE-2020-3312, CVE-2020-1111, CVE-2020-6993, CVE-2020-16211, CVE-2020-3177, CVE-2020-1456, CVE-2020-5364, CVE-2020-3240, CVE-2020-0671, CVE-2020-6974, CVE-2019-1118, CVE-2019-5910, CVE-2019-1031, CVE-2019-0609, CVE-2019-1013, CVE-2019-9670, CVE-2019-3767, CVE-2019-15963, CVE-2019-3786, CVE-2019-3732, CVE-2019-3731, CVE-2019-3799, CVE-2019-13511, CVE-2019-15972, CVE-2019-6538, CVE-2019-6538, CVE-2019-1942, CVE-2019-18234, CVE-2019-1860, CVE-2019-6522, CVE-2019-16768, CVE-2018-15466, CVE-2018-15444, CVE-2018-8111, CVE-2018-8607, CVE-2018-18990, CVE-2018-5445, CVE-2018-7526, CVE-2018-17934, CVE-2018-8248, CVE-2018-8575, CVE-2018-8353, CVE-2018-8110, CVE-2018-11048, CVE-2018-11051, CVE-2018-15780, CVE-2018-8160, CVE-2018-15771, CVE-2018-5459, CVE-2018-8355, CVE-2018-14809, CVE-2018-10610, CVE-2017-16651, CVE-2015-0984, CVE-2015-7935, CVE-2014-0751, CVE-2013-4335","NVD-CWE-noinfo, CWE-200, CWE-200, CWE-22, CWE-22, CWE-787, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-190, CWE-306, CWE-639, NVD-CWE-noinfo, CWE-22, CWE-732, CWE-668, CWE-125, NVD-CWE-noinfo, CWE-190, CWE-125, CWE-89, CWE-200, NVD-CWE-noinfo, CWE-601, CWE-125, CWE-863, CWE-732, NVD-CWE-noinfo, CWE-200, CWE-125, CWE-22, CWE-79, CWE-200, CWE-20, NVD-CWE-noinfo, CWE-22, NVD-CWE-noinfo, CWE-22, CWE-79, CWE-787, CWE-200, CWE-611, CWE-312, NVD-CWE-noinfo, CWE-345, CWE-203, CWE-203, CWE-22, CWE-416, CWE-89, CWE-862, CWE-306, CWE-89, CWE-89, CWE-99, CWE-125, CWE-209, CWE-306, CWE-611, CWE-787, CWE-79, CWE-22, CWE-22, CWE-425, CWE-22, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-416, CWE-787, CWE-611, CWE-22, NVD-CWE-noinfo, CWE-200, CWE-200, CWE-287, CWE-787, CWE-416, CWE-787, CWE-552, CWE-22, CWE-200, CWE-22, CWE-776"
T1005 ,CVE-2020-5295,CWE-98
T1036,"CVE-2020-5250, CVE-2020-5270, CVE-2020-16198, CVE-2020-1456, CVE-2019-1031, CVE-2019-3788, CVE-2019-3778, CVE-2019-1831, CVE-2018-0560, CVE-2018-17934, CVE-2018-8607, CVE-2018-11067, CVE-2018-5451","CWE-552, CWE-601, CWE-693, CWE-79, CWE-79, CWE-601, CWE-601, CWE-20, CWE-20, CWE-22, CWE-79, CWE-601, CWE-287"
T1036 ,CVE-2020-15233,CWE-601
T1036.,CVE-2018-15869,CWE-732
T1036.005,CVE-2020-6808,CWE-290
T1040,"CVE-2020-11035, CVE-2020-5261, CVE-2020-15093, CVE-2020-15094, CVE-2020-0884, CVE-2019-1715, CVE-2018-7259, CVE-2018-11749, CVE-2018-14781","CWE-327, CWE-294, CWE-347, CWE-212, CWE-319, CWE-332, CWE-319, CWE-319, CWE-287"
T1046,"CVE-2017-14323, CVE-2012-6685","CWE-918, CWE-776"
T1053.005,CVE-2010-3338,CWE-20
T1055,"CVE-2020-6820, CVE-2020-6820, CVE-2020-11738, CVE-2019-9978, CVE-2016-0099, CVE-2015-1641, CVE-2013-3336","CWE-362, CWE-416, CWE-22, CWE-79, CWE-264, CWE-399, NVD-CWE-noinfo"
T1055.001,CVE-2018-11072,CWE-427
T1057,CVE-2012-4681,NVD-CWE-noinfo
