,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,references,comments,organization,creation_date,last_update
0,nist_800_53,rev5,,,,non_mappable,T1608.006,SEO Poisoning,14.1,enterprise,[],,,01/13/2022,01/13/2022
1,nist_800_53,rev5,,,,non_mappable,T1608.005,Link Target,14.1,enterprise,[],,,01/13/2022,01/13/2022
2,nist_800_53,rev5,,,,non_mappable,T1608.004,Drive-by Target,14.1,enterprise,[],,,01/13/2022,01/13/2022
3,nist_800_53,rev5,,,,non_mappable,T1608.003,Install Digital Certificate,14.1,enterprise,[],,,01/13/2022,01/13/2022
4,nist_800_53,rev5,,,,non_mappable,T1608.002,Upload Tool,14.1,enterprise,[],,,01/13/2022,01/13/2022
5,nist_800_53,rev5,,,,non_mappable,T1608.001,Upload Malware,14.1,enterprise,[],,,01/13/2022,01/13/2022
6,nist_800_53,rev5,,,,non_mappable,T1608,Stage Capabilities,14.1,enterprise,[],,,01/13/2022,01/13/2022
7,nist_800_53,rev5,,,,non_mappable,T1594,Search Victim-Owned Websites,14.1,enterprise,[],,,01/13/2022,01/13/2022
8,nist_800_53,rev5,,,,non_mappable,T1593.002,Search Engines,14.1,enterprise,[],,,01/13/2022,01/13/2022
9,nist_800_53,rev5,,,,non_mappable,T1593.001,Social Media,14.1,enterprise,[],,,01/13/2022,01/13/2022
10,nist_800_53,rev5,,,,non_mappable,T1596.005,Scan Databases,14.1,enterprise,[],,,01/13/2022,01/13/2022
11,nist_800_53,rev5,,,,non_mappable,T1596.004,CDNs,14.1,enterprise,[],,,01/13/2022,01/13/2022
12,nist_800_53,rev5,,,,non_mappable,T1596.003,Digital Certificates,14.1,enterprise,[],,,01/13/2022,01/13/2022
13,nist_800_53,rev5,,,,non_mappable,T1596.002,WHOIS,14.1,enterprise,[],,,01/13/2022,01/13/2022
14,nist_800_53,rev5,,,,non_mappable,T1596.001,DNS/Passive DNS,14.1,enterprise,[],,,01/13/2022,01/13/2022
15,nist_800_53,rev5,,,,non_mappable,T1596,Search Open Technical Databases,14.1,enterprise,[],,,01/13/2022,01/13/2022
16,nist_800_53,rev5,,,,non_mappable,T1597.002,Purchase Technical Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
17,nist_800_53,rev5,,,,non_mappable,T1597.001,Threat Intel Vendors,14.1,enterprise,[],,,01/13/2022,01/13/2022
18,nist_800_53,rev5,,,,non_mappable,T1597,Search Closed Sources,14.1,enterprise,[],,,01/13/2022,01/13/2022
19,nist_800_53,rev5,,,,non_mappable,T1588.006,Vulnerabilities,14.1,enterprise,[],,,01/13/2022,01/13/2022
20,nist_800_53,rev5,,,,non_mappable,T1588.005,Exploits,14.1,enterprise,[],,,01/13/2022,01/13/2022
21,nist_800_53,rev5,,,,non_mappable,T1588.004,Digital Certificates,14.1,enterprise,[],,,01/13/2022,01/13/2022
22,nist_800_53,rev5,,,,non_mappable,T1588.003,Code Signing Certificates,14.1,enterprise,[],,,01/13/2022,01/13/2022
23,nist_800_53,rev5,,,,non_mappable,T1588.002,Tool,14.1,enterprise,[],,,01/13/2022,01/13/2022
24,nist_800_53,rev5,,,,non_mappable,T1588.001,Malware,14.1,enterprise,[],,,01/13/2022,01/13/2022
25,nist_800_53,rev5,,,,non_mappable,T1588,Obtain Capabilities,14.1,enterprise,[],,,01/13/2022,01/13/2022
26,nist_800_53,rev5,,,,non_mappable,T1591.004,Identify Roles,14.1,enterprise,[],,,01/13/2022,01/13/2022
27,nist_800_53,rev5,,,,non_mappable,T1591.003,Identify Business Tempo,14.1,enterprise,[],,,01/13/2022,01/13/2022
28,nist_800_53,rev5,,,,non_mappable,T1591.002,Business Relationships,14.1,enterprise,[],,,01/13/2022,01/13/2022
29,nist_800_53,rev5,,,,non_mappable,T1591.001,Determine Physical Locations,14.1,enterprise,[],,,01/13/2022,01/13/2022
30,nist_800_53,rev5,,,,non_mappable,T1591,Gather Victim Org Information,14.1,enterprise,[],,,01/13/2022,01/13/2022
31,nist_800_53,rev5,,,,non_mappable,T1590.006,Network Security Appliances,14.1,enterprise,[],,,01/13/2022,01/13/2022
32,nist_800_53,rev5,,,,non_mappable,T1590.005,IP Addresses,14.1,enterprise,[],,,01/13/2022,01/13/2022
33,nist_800_53,rev5,,,,non_mappable,T1590.004,Network Topology,14.1,enterprise,[],,,01/13/2022,01/13/2022
34,nist_800_53,rev5,,,,non_mappable,T1590.003,Network Trust Dependencies,14.1,enterprise,[],,,01/13/2022,01/13/2022
35,nist_800_53,rev5,,,,non_mappable,T1590.002,DNS,14.1,enterprise,[],,,01/13/2022,01/13/2022
36,nist_800_53,rev5,,,,non_mappable,T1590.001,Domain Properties,14.1,enterprise,[],,,01/13/2022,01/13/2022
37,nist_800_53,rev5,,,,non_mappable,T1590,Gather Victim Network Information,14.1,enterprise,[],,,01/13/2022,01/13/2022
38,nist_800_53,rev5,,,,non_mappable,T1589.003,Employee Names,14.1,enterprise,[],,,01/13/2022,01/13/2022
39,nist_800_53,rev5,,,,non_mappable,T1589.002,Email Addresses,14.1,enterprise,[],,,01/13/2022,01/13/2022
40,nist_800_53,rev5,,,,non_mappable,T1589.001,Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
41,nist_800_53,rev5,,,,non_mappable,T1589,Gather Victim Identity Information,14.1,enterprise,[],,,01/13/2022,01/13/2022
42,nist_800_53,rev5,,,,non_mappable,T1592.004,Client Configurations,14.1,enterprise,[],,,01/13/2022,01/13/2022
43,nist_800_53,rev5,,,,non_mappable,T1592.003,Firmware,14.1,enterprise,[],,,01/13/2022,01/13/2022
44,nist_800_53,rev5,,,,non_mappable,T1592.002,Software,14.1,enterprise,[],,,01/13/2022,01/13/2022
45,nist_800_53,rev5,,,,non_mappable,T1592.001,Hardware,14.1,enterprise,[],,,01/13/2022,01/13/2022
46,nist_800_53,rev5,,,,non_mappable,T1592,Gather Victim Host Information,14.1,enterprise,[],,,01/13/2022,01/13/2022
47,nist_800_53,rev5,,,,non_mappable,T1585.003,Cloud Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
48,nist_800_53,rev5,,,,non_mappable,T1585.002,Email Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
49,nist_800_53,rev5,,,,non_mappable,T1585.001,Social Media Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
50,nist_800_53,rev5,,,,non_mappable,T1585,Establish Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
51,nist_800_53,rev5,,,,non_mappable,T1587.004,Exploits,14.1,enterprise,[],,,01/13/2022,01/13/2022
52,nist_800_53,rev5,,,,non_mappable,T1587.003,Digital Certificates,14.1,enterprise,[],,,01/13/2022,01/13/2022
53,nist_800_53,rev5,,,,non_mappable,T1587.002,Code Signing Certificates,14.1,enterprise,[],,,01/13/2022,01/13/2022
54,nist_800_53,rev5,,,,non_mappable,T1587.001,Malware,14.1,enterprise,[],,,01/13/2022,01/13/2022
55,nist_800_53,rev5,,,,non_mappable,T1587,Develop Capabilities,14.1,enterprise,[],,,01/13/2022,01/13/2022
56,nist_800_53,rev5,,,,non_mappable,T1584.007,Serverless,14.1,enterprise,[],,,01/13/2022,01/13/2022
57,nist_800_53,rev5,,,,non_mappable,T1584.006,Web Services,14.1,enterprise,[],,,01/13/2022,01/13/2022
58,nist_800_53,rev5,,,,non_mappable,T1584.005,Botnet,14.1,enterprise,[],,,01/13/2022,01/13/2022
59,nist_800_53,rev5,,,,non_mappable,T1584.004,Server,14.1,enterprise,[],,,01/13/2022,01/13/2022
60,nist_800_53,rev5,,,,non_mappable,T1584.003,Virtual Private Server,14.1,enterprise,[],,,01/13/2022,01/13/2022
61,nist_800_53,rev5,,,,non_mappable,T1584.002,DNS Server,14.1,enterprise,[],,,01/13/2022,01/13/2022
62,nist_800_53,rev5,,,,non_mappable,T1584.001,Domains,14.1,enterprise,[],,,01/13/2022,01/13/2022
63,nist_800_53,rev5,,,,non_mappable,T1584,Compromise Infrastructure,14.1,enterprise,[],,,01/13/2022,01/13/2022
64,nist_800_53,rev5,,,,non_mappable,T1586.003,Cloud Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
65,nist_800_53,rev5,,,,non_mappable,T1586.002,Email Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
66,nist_800_53,rev5,,,,non_mappable,T1586.001,Social Media Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
67,nist_800_53,rev5,,,,non_mappable,T1586,Compromise Accounts,14.1,enterprise,[],,,01/13/2022,01/13/2022
68,nist_800_53,rev5,,,,non_mappable,T1595.003,Wordlist Scanning,14.1,enterprise,[],,,01/13/2022,01/13/2022
69,nist_800_53,rev5,,,,non_mappable,T1595.002,Vulnerability Scanning,14.1,enterprise,[],,,01/13/2022,01/13/2022
70,nist_800_53,rev5,,,,non_mappable,T1595.001,Scanning IP Blocks,14.1,enterprise,[],,,01/13/2022,01/13/2022
71,nist_800_53,rev5,,,,non_mappable,T1595,Active Scanning,14.1,enterprise,[],,,01/13/2022,01/13/2022
